scenario_id,annual_load_kwh,peak_load_kw,mean_load_kw,std_load_kw,load_factor,peak_to_average_ratio,daytime_load_share,nighttime_load_share,seasonal_load_variability,monthly_max_load_kwh,monthly_min_load_kwh,pv_capacity_kwp,wind_capacity_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,pv_capacity_factor,wind_capacity_factor,renewable_to_load_ratio,monthly_renewable_variability,daily_renewable_variability,max_positive_net_load_kw,mean_positive_net_load_kw,std_net_load_kw,total_deficit_energy_kwh,total_surplus_energy_kwh,max_consecutive_deficit_hours,max_cumulative_deficit_event_kwh,n_deficit_hours,n_surplus_hours,net_load_q10_kw,net_load_q50_kw,net_load_q90_kw,worst_monthly_renewable_to_load_ratio,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,optimal_capacity_kwh
20,11496.50224704719,3.1919283503785967,1.312386101261095,0.5291200775428343,0.41115775706727,2.4321564723303735,0.6014368988435888,0.39856310115641136,0.11453203827471733,1096.9855948329896,818.2965769337505,37.48035535412824,9.604279817897616,48150.38869649582,7225.703681647247,55376.09237814307,0.14665335112961866,0.08588379702513112,4.816777415266986,0.10768762016315862,0.3795666866850374,3.0587378903538283,1.034664804683563,8.38054383617091,4127.277905882734,48006.86803697861,19,23.87392722536668,3989,4771,-19.327389837560517,-0.47041491265573665,1.6276138824035418,3.7055367310425145,0.993338300554762,0.9546810768819172,0.8616502944128603,30.72
21,21636.713525604748,5.459411240292947,2.469944466393236,0.9933108753243404,0.4524195664477368,2.2103376470909537,0.6010660772183979,0.398933922781602,0.11270439210294844,2061.491275241108,1537.9815691310735,19.51416678468146,24.0579879013949,25069.525272448285,18099.836223866587,43169.36149631487,0.14665335112961866,0.08588379702513112,1.9951903252417946,0.23296957162639118,0.5845116657434447,5.33994337709965,1.8970138574215778,6.176383283605685,8362.037083514315,29894.68505422444,41,83.95635218845405,4408,4352,-10.973440050052487,0.034355929879415104,3.1594990015739657,1.5029568826379958,0.9923036858151084,0.9642439213044068,0.7329215635164036,138.24
24,19638.823000227392,4.980775898536085,2.2418747717154557,0.9023869937327711,0.45010552921571356,2.2217012124744393,0.6014128175943316,0.39858718240566854,0.11321758058662669,1875.8886270010603,1401.9026297274413,17.87381547768594,23.736263010675582,22962.193250529777,17857.789056205347,40819.982306735124,0.14665335112961866,0.08588379702513112,2.078535068331869,0.24230602477751476,0.6041604263192761,4.980775898536085,1.7282179843034993,5.850591536946117,7446.891294363779,28628.05060087151,33,72.63663240561584,4309,4451,-10.302688487311668,-0.08180976523128486,2.8280185484734797,1.5421124690727435,0.997480014049124,0.8937955884962044,0.7358536616315478,245.76
25,17857.386628582928,4.575627718216641,2.038514455317686,0.8227230114836878,0.4455158026082158,2.2445892921095654,0.6020682365776122,0.39793176342238773,0.11328595216706512,1701.231942221223,1273.3943789513642,27.981483745625304,22.49124081674929,35947.34644126416,16921.106491665592,52868.45293292975,0.14665335112961864,0.08588379702513112,2.9605929485956994,0.18365846422337134,0.4869026485018924,4.39143337210884,1.5859110371932346,7.5050100297379965,6313.5118390662665,41324.57814341309,24,40.15645346182126,3981,4779,-15.382300683899421,-0.6290849187473946,2.506363856721533,2.401217013626987,0.9969966435441706,0.967464378345487,0.8001482372404685,76.8
27,17991.026066402304,4.588831751353468,2.053770098904373,0.8245920278883897,0.4475583787308429,2.2343453893897265,0.6022427605696824,0.3977572394303177,0.11156944410685461,1711.5417251573144,1286.3863096647028,30.827873069286596,16.62233218441805,39604.055429770364,12505.67966987917,52109.73509964954,0.14665335112961866,0.08588379702513112,2.896429303549445,0.14710329601935268,0.42506794841022916,4.588831751353468,1.604353681278073,7.52368922224845,6698.176619335954,40816.88565258318,37,57.754741594737474,4175,4585,-16.15686916384066,-0.2909252761089053,2.5839737889622434,2.3515404745035613,0.9964386641665424,0.9465085603523988,0.7262115503114626,92.16
29,10994.379655450251,2.7850877332612884,1.2550661707134991,0.5054374940646449,0.4506379299024232,2.2190764106708247,0.6003545878177678,0.3996454121822322,0.11319397139491663,1048.2932287870226,780.8542328249797,18.59338680646165,23.496168586240543,23886.614559987513,17677.155921865557,41563.77048185307,0.14665335112961866,0.08588379702513112,3.7804561771021463,0.23605337874001178,0.5909690478681211,2.707348045154877,0.9654468985346528,5.913732354397979,3425.405596000948,33994.79642240376,20,24.408967698984082,3548,5212,-11.605672708739936,-0.982451272946405,1.4715810712772646,2.832883448704482,0.9957057760051298,0.8895307663375678,0.7280679194127825,46.08
32,26502.86277094721,6.731515254965259,3.025440955587581,1.2141306590555847,0.4494442693799103,2.2249699643065446,0.6020579313750039,0.39794206862499615,0.11311717517203003,2535.0832405467136,1889.1811668989978,36.032168613280334,17.062143146774513,46289.927294300025,12836.567956162311,59126.495250462336,0.14665335112961866,0.0858837970251311,2.230947492784726,0.13755268559050532,0.41129546814533374,6.480525355274453,2.3659017340954867,8.619600224644559,10760.121086666273,43383.7535661814,38,98.25422548263118,4548,4212,-17.89866317192052,0.27321625935076077,3.950071836682945,1.7963315997130693,0.9938329387773616,0.9386737923021976,0.873498126350465,122.88
33,19466.494519903245,5.137422980989131,2.2222025707652104,0.8927157739749348,0.4325519971760939,2.3118607855898894,0.6016697330715564,0.39833026692844364,0.1130690766660501,1860.6084382455165,1392.1720862982916,23.616906462288995,9.956791259027163,30340.24664984259,7490.912866124144,37831.159515966734,0.14665335112961866,0.0858837970251311,1.9433986677615118,0.13001145460941874,0.4013933700457695,4.815804262770653,1.7395732999962026,5.568835646554078,8309.941654081858,26674.606650145346,38,75.3262783421843,4777,3983,-11.331170037419968,0.44613014163924014,2.951492521067832,1.5472905417792875,0.9973491188708152,0.8894750271868712,0.7133117713910356,199.68
34,14619.602546614195,3.823430879447971,1.6689044002984241,0.6706175536411175,0.43649393775346124,2.2909825624309494,0.6014781501551989,0.39852184984480116,0.11479488369535899,1402.5773161336404,1038.7902586372272,18.541602470138063,8.072267903841173,23820.088085016505,6073.106679309149,29893.194764325654,0.14665335112961864,0.08588379702513112,2.044733751756386,0.13200321398429432,0.403915118381468,3.6177286598524145,1.3080660529487107,4.388336711784504,6143.986250700094,21417.578468411553,38,55.843308642030635,4697,4063,-9.0112754170217,0.26375774692003784,2.203506771617639,1.636854838034287,0.9904985586824784,0.8957177323842267,0.7106763865254351,76.8
35,25745.218273281127,6.704072289958117,2.938951857680494,1.1807663299530677,0.4383830798010167,2.281109938033883,0.6014421814697226,0.39855781853027744,0.1134268707409553,2461.7709735515923,1834.853869002178,27.734314483329136,18.61429053599013,35629.81220390332,14004.313723399806,49634.125927303125,0.14665335112961864,0.0858837970251311,1.9278968777986378,0.16584989540786724,0.4552554679249755,6.513922912340659,2.2876268976111125,7.122341456761893,10536.809490396785,34425.717144418784,38,98.29445164195506,4606,4154,-13.961035382195655,0.34999895616480226,3.8301309902504523,1.5805250720876567,0.9945407361332,0.9587504448011148,0.8702263253644412,153.6
