n_modules,nominal_battery_capacity_kwh,usable_battery_capacity_kwh,rated_battery_power_kw,annual_load_kwh,peak_load_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,direct_renewable_consumption_kwh,load_served_kwh,load_served_fraction,lpsp,unserved_energy_kwh,hours_with_unmet_load,curtailed_energy_kwh,renewable_utilization,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,min_soc_kwh,max_soc_kwh,mean_soc_kwh,battery_throughput_kwh,equivalent_full_cycles,initial_cost_eur,replacement_cost_eur,present_value_cost_eur,equivalent_annual_cost_eur,cost_per_kwh_served_eur,candidate_runtime_seconds,diesel_rated_power_kw,diesel_annual_energy_kwh,diesel_annual_fuel_l,diesel_annual_fuel_cost_eur,diesel_annualized_capital_cost_eur,still_unserved_energy_kwh,lpsp_after_diesel,renewable_share,pv_annualized_cost_eur,wind_annualized_cost_eur,battery_annualized_cost_eur,total_annualized_cost_eur,system_lcoe_eur_per_kwh
26,6500.0,5525.0,3250.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3151064.3988629133,0.829227473384977,0.17077252661502293,648935.6011370872,2078,1033224.5934706822,0.7558696638856667,959546.0817529232,911568.777665277,47977.30408764627,650.0,6175.0,3142.580913806508,1871114.8594182003,164.98982401181485,1950000.0,1950000.0,3147130.8444044804,252533.92118264042,0.08014241831229134,0.0019868830000007165,911.4157389470456,648935.6011370872,313898.09708530165,282508.2873767715,88176.20837632718,0.0,0.0,0.829227473384977,120005.65986027101,183122.10171180282,252533.92118264042,926346.178507813,0.243775310133635
27,6750.0,5737.5,3375.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3162029.033647489,0.8321129035914443,0.16788709640855562,637970.9663525114,2043,1021682.872644813,0.7585967420082388,971087.8025787924,922533.4124498528,48554.39012893974,675.0,6412.5,3279.532064540671,1893621.2150286452,160.79013724616172,2025000.0,2025000.0,3268174.338420037,262246.76430504967,0.082936229084064,0.001818030000009685,911.4157389470456,637970.9663525114,308602.5785104927,277742.32065944345,88176.20837632718,0.0,0.0,0.8321129035914444,120005.65986027101,183122.10171180282,262246.76430504967,931293.054912894,0.24507711971391946
28,7000.0,5950.0,3500.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3172288.500842664,0.8348127633796483,0.16518723662035165,627711.4991573363,2008,1010883.4334919972,0.7611484337961462,981887.2417316083,932792.8796450278,49094.36208658053,700.0,6650.0,3416.984730742212,1914680.121376636,156.77191254538283,2100000.0,2100000.0,3389217.832435594,271959.60742745886,0.08572978383120497,0.0019683879999945475,911.4157389470456,627711.4991573363,303480.53116267634,273132.47804640874,88176.20837632718,0.0,0.0,0.8348127633796484,120005.65986027101,183122.10171180282,271959.60742745886,936396.0554222686,0.2464200145848075
29,7250.0,6162.5,3625.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3182034.348305303,0.8373774600803429,0.16262253991965722,617965.6516946976,1976,1000624.6466892195,0.7635723802315235,992146.028534386,942538.7271076664,49607.30142671941,725.0,6887.5,3554.0965824637638,1934684.7556420523,152.9474607882623,2175000.0,2175000.0,3510261.326451151,281672.45054986817,0.08851961346673774,0.002300530000013623,911.4157389470456,617965.6516946976,298707.5387048756,268836.78483438806,88176.20837632718,0.0,0.0,0.8373774600803428,120005.65986027101,183122.10171180282,281672.45054986817,941813.2053326573,0.24784558035069926
30,7500.0,6375.0,3750.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3191561.839777353,0.8398846946782508,0.16011530532174914,608438.1602226468,1952,990595.7082975872,0.7659420180778265,1002174.9669260182,952066.2185797173,50108.74834630103,750.0,7125.0,3691.801118380642,1954241.1855057357,149.3437205615243,2250000.0,2250000.0,3631304.8204667084,291385.2936722774,0.09129865197680292,0.0025062029999958213,911.4157389470456,608438.1602226468,294582.1403162575,265123.9262846318,88176.20837632718,0.0,0.0,0.8398846946782509,120005.65986027101,183122.10171180282,291385.2936722774,947813.1899053103,0.24942452365929216
31,7750.0,6587.5,3875.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3200781.404937146,0.842310896036091,0.15768910396390892,599218.595062854,1918,980890.9028662264,0.7682350697791258,1011879.7723573792,961285.7837395101,50593.98861786908,775.0,7362.5,3830.5908360335416,1973165.5560968893,145.9257356720319,2325000.0,2325000.0,3752348.314482265,301098.13679468667,0.09407019683701247,0.002379074999993236,911.4157389470456,599218.595062854,289790.1436810824,260811.12931297417,88176.20837632718,0.0,0.0,0.8423108960360911,120005.65986027101,183122.10171180282,301098.13679468667,953213.2360560618,0.25084558843580573
32,8000.0,6800.0,4000.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3209687.5382697154,0.8446546153341356,0.1553453846658644,590312.4617302847,1895,971516.0256740481,0.770450166026757,1021254.6495495574,970191.9170720794,51062.732477477985,800.0,7600.0,3968.8276769547388,1991446.5666216367,142.6752819223646,2400000.0,2400000.0,3873391.808497822,310810.97991709586,0.09683527639723101,0.0022516169999846625,911.4157389470456,590312.4617302847,285891.83420671395,257302.65078604256,88176.20837632718,0.0,0.0,0.8446546153341357,120005.65986027101,183122.10171180282,310810.97991709586,959417.6006515394,0.2524783159609314
33,8250.0,7012.5,4125.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3218482.6127206306,0.8469691086106922,0.15303089138930778,581517.3872793696,1867,962258.0525678218,0.772637640173659,1030512.6226557838,978986.9915229945,51525.631132789305,825.0,7837.5,4105.8962261343595,2009499.6141787781,139.6059880959707,2475000.0,2475000.0,3994435.3025133787,320523.8230395051,0.09958848985937557,0.00205227500001115,911.4157389470456,581517.3872793696,281649.6711575461,253484.7040417915,88176.20837632718,0.0,0.0,0.8469691086106922,120005.65986027101,183122.10171180282,320523.8230395051,965312.4970296976,0.25402960448149936
34,8500.0,7225.0,4250.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3226936.869574363,0.8491939130458849,0.15080608695411507,573063.1304256374,1842,953358.834827051,0.7747403475926832,1039411.8403965546,987441.2483767266,51970.59201982785,850.0,8075.0,4242.592894483885,2026853.0887732813,136.67006897947775,2550000.0,2550000.0,4115478.796528936,330236.66616191436,0.10233750442272302,0.002322070000019494,911.4157389470456,573063.1304256374,277714.0536730971,249942.6483057874,88176.20837632718,0.0,0.0,0.849193913045885,120005.65986027101,183122.10171180282,330236.66616191436,971483.2844161028,0.2556534958989744
35,8750.0,7437.5,4375.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3234823.465240546,0.8512693329580383,0.14873066704196164,565176.5347594543,1816,945057.1551784374,0.7767018686944233,1047713.5200451683,995327.8440429098,52385.67600225853,875.0,8312.5,4378.134885270201,2043041.364088078,133.82559247635763,2625000.0,2625000.0,4236522.290544493,339949.50928432366,0.10509059085826945,0.0024585280000053444,911.4157389470456,565176.5347594543,273843.8460288479,246459.46142596312,88176.20837632718,0.0,0.0,0.8512693329580383,120005.65986027101,183122.10171180282,339949.50928432366,977712.9406586877,0.25729287912070725
36,9000.0,7650.0,4500.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3242423.303321005,0.8532692903476328,0.1467307096523673,557576.6966789959,1796,937057.3256200597,0.7785920686483208,1055713.3496035459,1002927.6821233684,52785.667480177406,900.0,8550.0,4512.615992968429,2058641.0317269142,131.10165779390437,2700000.0,2700000.0,4357565.78456005,349662.3524067329,0.10783982216282381,0.0022238409999886244,911.4157389470456,557576.6966789959,270489.58962231036,243440.63066007933,88176.20837632718,0.0,0.0,0.8532692903476327,120005.65986027101,183122.10171180282,349662.3524067329,984406.9530152133,0.25905446131979293
37,9250.0,7862.5,4625.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3249509.6890631695,0.8551341287008339,0.14486587129916606,550490.310936831,1771,929597.9722072548,0.7803545648832843,1063172.703016351,1010014.067865533,53158.63515081766,925.0,8787.5,4646.8690096401915,2073186.770881884,128.4596588700201,2775000.0,2775000.0,4478609.278575607,359375.1955291421,0.11059366794279343,0.002334761000014396,911.4157389470456,550490.310936831,266890.4684313069,240201.4215881762,88176.20837632718,0.0,0.0,0.8551341287008339,120005.65986027101,183122.10171180282,359375.1955291421,990880.5870657193,0.2607580492278208
38,9500.0,8075.0,4750.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3256344.628597467,0.8569327969993333,0.14306720300066675,543655.3714025337,1749,922403.2990132577,0.7820545224686754,1070367.376210348,1016849.0073998303,53518.368810517524,950.0,9025.0,4781.254734633174,2087216.3836101783,125.92557367180561,2850000.0,2850000.0,4599652.772591163,369088.03865155135,0.11334428039655017,0.002557622000011861,911.4157389470456,543655.3714025337,263575.90744325053,237218.31669892548,88176.20837632718,0.0,0.0,0.8569327969993332,120005.65986027101,183122.10171180282,369088.03865155135,997610.3252988779,0.26252903297338887
