scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
63,jinan,Asia/Shanghai,2023,4200189,2824.723710143984,1093.8628619233068,4043385.995886929,1263.686751155822,0.9986722192099994,0.9570077909532164,0.7375218585530067,True,31,7750.0,0.0,0.2423682383355425,0.8942284209913638,301098.13679468667,,0.2915121589999216,3628875.535425247,1448301.7801405604,5077177.315565807
64,jinan,Asia/Shanghai,2023,4200190,3013.1505745611234,711.9148422321359,2810122.077572704,1168.050969151554,0.9902157331997516,0.9268411699390504,0.7927351429363002,True,21,5250.0,0.0,0.2373727678097784,0.9411095514735868,203969.70557059415,,0.2867824390000351,3870944.391945516,942593.0518386856,4813537.4437842015
65,jinan,Asia/Shanghai,2023,4200191,1787.0783640722382,975.937443748289,1390264.0958390022,811.330788853739,0.9989418869710815,0.966283677337474,0.7080798457684326,True,10,2500.0,0.0,0.2940874956846027,0.9647497675167442,97128.43122409248,,0.2874693669998578,2295829.8300044904,1292165.5778689147,3587995.407873405
66,jinan,Asia/Shanghai,2023,4200192,679.4730119518975,1702.4737957884845,2025515.6561652704,811.643060624664,0.9982417037209084,0.9310703302194392,0.7794466602945648,True,11,2750.0,0.0,0.312464771347373,0.8116101575695911,106841.2743465017,,0.2961122680001153,872907.6692347594,2254117.8742897976,3127025.543524557
67,jinan,Asia/Shanghai,2023,4200193,3427.2080731689816,593.6676070729427,3933505.084326672,1232.985778222206,0.9987947345692292,0.901272439184519,0.709823528750008,True,34,8500.0,0.0,0.2460369821891112,0.9026203367172236,330236.6661619144,,0.2923364089999722,4402877.168790738,786030.7558332781,5188907.9246240165
68,jinan,Asia/Shanghai,2023,4200194,960.8054976132756,313.99126166460456,2234158.477789383,846.9982004389221,0.9982120391666608,0.9283496995324906,0.8251979113398161,True,11,2750.0,0.0,0.3020611967046631,0.6710030000305731,106841.2743465017,,0.294857243000024,1234330.8310366296,415732.2814834819,1650063.1125201115
69,jinan,Asia/Shanghai,2023,4200195,1105.6017548286234,1641.0505172129303,4474281.215079591,1157.3436706523612,0.998539587963052,0.9113110698180932,0.7181158117070878,True,11,2750.0,0.0,0.3222589582840869,0.5870849272453793,106841.2743465017,,0.2962347089999184,1420348.1726771449,2172791.917627708,3593140.0903048525
70,jinan,Asia/Shanghai,2023,4200196,3310.00907559538,538.2264422656581,1768755.5230123582,772.5300874836478,0.9946759463829872,0.925737362330042,0.7873334978677679,True,12,3000.0,0.0,0.2803693161399574,0.9651829039451628,116554.11746891096,,0.2813249870000618,4252313.5672803,712625.2673771883,4964938.834657488
71,jinan,Asia/Shanghai,2023,4200197,1543.02090450771,1392.5532698591596,4760827.199654557,1258.6163106319564,0.993338210893875,0.9182573590762718,0.8624245922374119,True,21,5250.0,0.0,0.3049648895844145,0.6659801989544514,203969.70557059415,,0.2817748170000413,1982293.273819812,1843775.3487045288,3826068.6225243406
72,jinan,Asia/Shanghai,2023,4200198,1093.0009467639186,724.3930164052383,4005774.176339324,1176.9668443357818,0.9968449142045688,0.9437341798458372,0.7350361135712007,True,8,2000.0,0.0,0.3323532453485454,0.5118556703529844,77702.74497927396,,0.2822472860000289,1404160.1242855852,959114.4664482212,2363274.5907338066
73,jinan,Asia/Shanghai,2023,4200199,1573.0478945779228,1061.1288669560204,1981357.5534736048,537.1011872330062,0.9927749988355756,0.8914548578496135,0.8100479383816515,True,14,3500.0,0.0,0.2561049501293458,0.931805279123952,135979.80371372943,,0.2821925439998267,2020868.4481906528,1404961.1523228502,3425829.600513503
74,jinan,Asia/Shanghai,2023,4200200,2615.084589572579,325.8769366583502,3749952.439344694,1071.3217550311847,0.996731911160572,0.9533565786596878,0.7896481266341214,True,29,7250.0,0.0,0.2447101895550084,0.8429960957477105,281672.45054986817,,0.2788851909999721,3359555.6464826004,431469.2123646957,3791024.858847296
75,jinan,Asia/Shanghai,2023,4200201,1704.9849020281292,682.5531886769918,4413386.810421392,1235.7456219173905,0.9931017679786044,0.9301301603693304,0.759259926090697,True,19,4750.0,0.0,0.3128414704570247,0.6300788935461282,184544.01932577568,,0.2830908189998808,2190365.7256885883,903717.4883726984,3094083.2140612868
76,jinan,Asia/Shanghai,2023,4200202,1009.3999213181226,551.3339536735803,1507110.3260520888,1246.7581991597203,0.9936259164765686,0.9550708802801896,0.8362658945379382,True,10,2500.0,0.0,0.2379536252380638,0.9000808120244428,97128.43122409248,,0.2810598700000355,1296759.2783595782,729979.9402215778,2026739.218581156
77,jinan,Asia/Shanghai,2023,4200203,2943.4216280928017,623.461499148161,2663899.0263198,1262.7448304461618,0.9923813784481156,0.9186961344910044,0.7865031186484732,True,20,5000.0,0.0,0.2393037225994709,0.940877944811426,194256.86244818493,,0.2908866380000745,3781364.774993538,825478.613907538,4606843.388901076
78,jinan,Asia/Shanghai,2023,4200204,2213.502086167223,1989.3399904142811,1404814.8420824884,468.3979773938836,0.9946702317823838,0.9528946662800384,0.7178084010150106,True,9,2250.0,0.0,0.3923983949667063,0.9754817328259142,87415.58810168323,,0.3014572869999483,2843649.288338908,2633935.888778546,5477585.177117454
79,jinan,Asia/Shanghai,2023,4200205,3085.443253448042,1356.0543534223884,4859130.358932158,1282.1365301127023,0.9937065909627087,0.9163018962924216,0.8846693935451625,True,33,8250.0,0.0,0.2362922486242355,0.8813912473136648,320523.8230395051,,0.2994131710001966,3963817.593264635,1795449.8707231,5759267.463987735
