n_modules,nominal_battery_capacity_kwh,usable_battery_capacity_kwh,rated_battery_power_kw,annual_load_kwh,peak_load_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,direct_renewable_consumption_kwh,load_served_kwh,load_served_fraction,lpsp,unserved_energy_kwh,hours_with_unmet_load,curtailed_energy_kwh,renewable_utilization,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,battery_self_discharge_kwh,min_soc_kwh,max_soc_kwh,mean_soc_kwh,battery_throughput_kwh,equivalent_full_cycles,initial_cost_eur,replacement_cost_eur,present_value_cost_eur,equivalent_annual_cost_eur,cost_per_kwh_served_eur,candidate_runtime_seconds,diesel_rated_power_kw,diesel_annual_energy_kwh,diesel_annual_fuel_l,diesel_annual_fuel_cost_eur,diesel_annualized_capital_cost_eur,still_unserved_energy_kwh,lpsp_after_diesel,renewable_share,pv_annualized_cost_eur,wind_annualized_cost_eur,battery_annualized_cost_eur,total_annualized_cost_eur,system_lcoe_eur_per_kwh
10,2500.0,2125.0,1250.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2900036.2053634715,0.6444524900807714,0.35554750991922857,1599963.7946365285,4443,1224389.9018735988,0.7054425445409471,640871.5419285896,608587.7130160235,32037.33575016086,281.8644030860746,250.0,2375.0,928.3946483379168,1249459.2549446132,286.3942178898934,750000.0,750000.0,1210434.9401555695,97128.43122409248,0.03349214435476989,0.002911214000050677,1499.2888981291467,1599963.7946365285,936157.2832644721,842541.554938025,145050.8309747663,0.0,0.0,0.6444524900807714,120005.65986027101,183122.10171180282,97128.43122409248,1387848.5787089574,0.3084107952686572
11,2750.0,2337.5,1375.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2948166.7951648976,0.6551481767033106,0.34485182329668934,1551833.204835102,4360,1173701.5365441598,0.7176368920196148,691559.9072580286,656718.3028174499,34571.14723346877,308.6418109406344,275.0,2612.5,1016.593093678975,1348278.2100754785,280.94900655291974,825000.0,825000.0,1331478.4341711262,106841.2743465017,0.0362399015285449,0.00231209100002161,1499.2888981291467,1551833.204835102,914181.4404708538,822763.2964237685,145050.8309747663,0.0,0.0,0.6551481767033107,120005.65986027101,183122.10171180282,106841.2743465017,1377783.1633171104,0.3061740362926912
12,3000.0,2550.0,1500.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2992945.794274651,0.6650990653943669,0.334900934605633,1507054.2057253486,4278,1126540.7426550377,0.7289825944173162,738720.7011471507,701497.3019272031,36928.5698099652,335.6852791630704,300.0,2850.0,1105.6678789136101,1440218.0030743538,275.0969811479228,900000.0,900000.0,1452521.9281866832,116554.11746891096,0.038942943000128134,0.002485004999925877,1499.2888981291467,1507054.2057253486,893152.2060681398,803836.9854613259,145050.8309747663,0.0,0.0,0.6650990653943669,120005.65986027101,183122.10171180282,116554.11746891096,1368569.6954770768,0.30412659899490596
13,3250.0,2762.5,1625.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3035957.4113579774,0.674657202523995,0.325342797476005,1464042.5886420223,4200,1081240.3319358295,0.7398807353545137,784021.1118663591,744508.9190105293,39192.972759965705,362.6363247948712,325.0,3087.5,1194.438246003181,1528530.0308768884,269.5054910445355,975000.0,975000.0,1573565.4222022402,126266.96059132021,0.04159049139455526,0.0027031990000523365,1499.2888981291467,1464042.5886420223,873046.2159669372,785741.5943702435,145050.8309747663,0.0,0.0,0.674657202523995,120005.65986027101,183122.10171180282,126266.96059132021,1360187.1475084038,0.3022638105574231
14,3500.0,2975.0,1750.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3076896.4344838466,0.6837547632186326,0.31624523678136723,1423103.5655161527,4117,1038121.3782326314,0.7502540725287548,827140.0655695572,785447.942136399,41348.29740910884,389.6483846301941,350.0,3325.0,1283.4095794426516,1612588.0077059562,264.0161150038316,1050000.0,1050000.0,1694608.916217797,135979.80371372943,0.0441938188720805,0.002533034999942174,1499.2888981291467,1423103.5655161527,852839.498575506,767555.5487179555,145050.8309747663,0.0,0.0,0.6837547632186327,120005.65986027101,183122.10171180282,135979.80371372943,1351713.944978525,0.30038087666189445
15,3750.0,3187.5,1875.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3114783.5455158115,0.6921741212257358,0.307825878774264,1385216.454484188,4034,998214.7151568352,0.7598546132662116,867046.7286453532,823335.0531683636,43343.001396046035,416.7431463742632,375.0,3562.5,1372.6533134004094,1690381.781813717,258.3011931508592,1125000.0,1125000.0,1815652.4102333542,145692.6468361387,0.046774565457649436,0.002399807999836412,1499.2888981291467,1385216.454484188,833383.5515591754,750045.1964032579,145050.8309747663,0.0,0.0,0.692174121225736,120005.65986027101,183122.10171180282,145692.6468361387,1343916.4357862368,0.29864809684138593
16,4000.0,3400.0,2000.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3149166.5117347743,0.6998147803855054,0.30018521961449457,1350833.4882652257,3954,961996.4817952055,0.7685678104625449,903264.9620069829,857718.0193873261,45153.280349033535,443.9659106039976,400.0,3800.0,1462.3186572577592,1760982.981394309,252.27000570215472,1200000.0,1200000.0,1936695.904248911,155405.48995854793,0.0493481336663078,0.00240369399989504,1499.2888981291467,1350833.4882652257,815155.975409101,733640.3778681909,145050.8309747663,0.0,0.0,0.6998147803855055,120005.65986027101,183122.10171180282,155405.48995854793,1337224.460373579,0.2971609911941287
17,4250.0,3612.5,2125.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3180646.356413355,0.70681030142519,0.29318969857480986,1319353.6435866444,3862,928833.5270684089,0.7765459843635882,936427.9167337796,889197.8640659074,46810.77960564661,471.4749418254838,425.0,4037.5,1552.9268968487459,1825625.780799687,246.14473745769064,1275000.0,1275000.0,2057739.398264468,165118.33308095718,0.051913452354744746,0.0024661739998919074,1499.2888981291467,1319353.6435866444,796177.162188929,716559.4459700362,145050.8309747663,0.0,0.0,0.7068103014251901,120005.65986027101,183122.10171180282,165118.33308095718,1329856.3715978335,0.2955236381328519
18,4500.0,3825.0,2250.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3208963.7138168872,0.7131030475148639,0.2868969524851361,1291036.2861831123,3777,898999.4267590295,0.7837233195078862,966262.0170431589,917515.2214694393,48301.83417798385,499.00188223569944,450.0,4275.0,1643.5941250697028,1883777.2385125982,239.8732605148861,1350000.0,1350000.0,2178782.892280025,174831.17620336646,0.05448212937110913,0.0024793290001525747,1499.2888981291467,1291036.2861831123,778831.1404036875,700948.0263633188,145050.8309747663,0.0,0.0,0.7131030475148639,120005.65986027101,183122.10171180282,174831.17620336646,1323957.7951135254,0.2942128433585612
19,4750.0,4037.5,2375.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3235417.3035704414,0.7189816230156536,0.28101837698434623,1264582.696429558,3685,871126.7835137118,0.7904287773515808,994134.6602884766,943968.8112229938,49694.80593600159,526.6865484813909,475.0,4512.5,1734.7808648705618,1938103.4715114704,233.80032476111302,1425000.0,1425000.0,2299826.3862955817,184544.01932577568,0.0570387069149078,0.0024625399998967623,1499.2888981291467,1264582.696429558,761088.7858950722,684979.907305565,145050.8309747663,0.0,0.0,0.7189816230156538,120005.65986027101,183122.10171180282,184544.01932577568,1317702.5191781807,0.2928227820395957
