,pv_kw,wind_kw,renewable_kw,load_kw,direct_supply_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,self_discharge_kwh,curtailed_kwh,unserved_kwh,load_served_kwh,soc_kwh,diesel_output_kwh,diesel_fuel_l,still_unserved_kwh
2023-04-26 19:00:00+08:00,0.0,109.99502593502977,109.99502593502977,749.8220559594315,109.99502593502977,0.0,639.8270300244018,16.621651859572353,0.16302154613731545,0.0,0.0,749.8220559594315,4047.108826805441,0.0,0.0,0.0
2023-04-26 20:00:00+08:00,0.0,213.97127586243263,213.97127586243263,791.1763485925451,213.97127586243263,0.0,577.2050727301124,14.994836604719922,0.14026469771943084,0.0,0.0,791.1763485925451,3454.7686527728893,0.0,0.0,0.0
2023-04-26 21:00:00+08:00,0.0,510.1246041711754,510.1246041711754,592.35375055168,510.1246041711754,0.0,82.22914638050463,2.13617771633443,0.11973537196809048,0.0,0.0,592.35375055168,3370.283593304082,0.0,0.0,0.0
2023-04-26 22:00:00+08:00,0.0,955.2106236626109,955.2106236626109,485.8666766016935,485.8666766016935,469.34394706091746,0.0,11.884054162550683,0.11680728877672664,0.0,0.0,485.8666766016935,3827.626678913672,0.0,0.0,0.0
2023-04-26 23:00:00+08:00,0.0,1023.9519381428579,1023.9519381428579,347.43721885997843,347.43721885997843,676.5147192828795,0.0,17.129735274240147,0.1326578854377658,0.0,0.0,347.43721885997843,4486.879005036873,0.0,0.0,0.0
2023-04-27 00:00:00+08:00,0.0,796.0550011766348,796.0550011766348,260.9562705666983,260.9562705666983,535.0987306099365,0.0,13.549002467598143,0.15550625255673367,0.0,0.0,260.9562705666983,5008.273226926655,0.0,0.0,0.0
2023-04-27 01:00:00+08:00,0.0,644.0733821662616,644.0733821662616,219.868733734103,219.868733734103,424.2046484321586,0.0,10.741101594134818,0.1735767334985212,0.0,0.0,219.868733734103,5421.563197031181,0.0,0.0,0.0
2023-04-27 02:00:00+08:00,0.0,560.2048789912287,560.2048789912287,204.18645089136905,204.18645089136905,285.8629141534056,0.0,7.2382106473032195,0.18790053728298517,70.15551394645405,0.0,204.18645089136905,5700.0,0.0,0.0,0.0
2023-04-27 03:00:00+08:00,0.0,615.15320865763,615.15320865763,203.36317567908495,203.36317567908495,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,411.5873503395037,0.0,203.36317567908495,5700.0,0.0,0.0,0.0
2023-04-27 04:00:00+08:00,0.0,796.0550011766348,796.0550011766348,225.13546671798792,225.13546671798792,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,570.7168518196056,0.0,225.13546671798792,5700.0,0.0,0.0,0.0
2023-04-27 05:00:00+08:00,0.0,1011.8211179404614,1011.8211179404614,319.09991688050025,319.09991688050025,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,692.5185184209198,0.0,319.09991688050025,5700.0,0.0,0.0,0.0
2023-04-27 06:00:00+08:00,0.0,1115.7994294745913,1115.7994294745913,555.4229897277842,555.4229897277842,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,560.1737571077658,0.0,555.4229897277842,5700.0,0.0,0.0,0.0
2023-04-27 07:00:00+08:00,249.7817070777256,1056.3007920159155,1306.082499093641,687.8181752361879,687.8181752361879,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,618.0616412184118,0.0,687.8181752361879,5700.0,0.0,0.0,0.0
2023-04-27 08:00:00+08:00,506.8300261343592,1450.0,1956.8300261343593,694.4053449339169,694.4053449339169,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1262.221998561401,0.0,694.4053449339169,5700.0,0.0,0.0,0.0
2023-04-27 09:00:00+08:00,776.0468124551662,1450.0,2226.046812455166,564.9515334699137,564.9515334699137,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1660.8925963462113,0.0,564.9515334699137,5700.0,0.0,0.0,0.0
2023-04-27 10:00:00+08:00,976.2372560433886,1450.0,2426.2372560433887,504.97179958373454,504.97179958373454,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1921.0627738206128,0.0,504.97179958373454,5700.0,0.0,0.0,0.0
2023-04-27 11:00:00+08:00,1094.361428798499,1450.0,2544.361428798499,454.9839009365814,454.9839009365814,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,2089.1748452228762,0.0,454.9839009365814,5700.0,0.0,0.0,0.0
2023-04-27 12:00:00+08:00,1144.0287284582753,1406.0078370705342,2550.0365655288097,467.024852505367,467.024852505367,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,2082.809030384401,0.0,467.024852505367,5700.0,0.0,0.0,0.0
2023-04-27 13:00:00+08:00,1108.3703306032635,1391.2719651564703,2499.6422957597338,430.50278858357854,430.50278858357854,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,2068.936824537114,0.0,430.50278858357854,5700.0,0.0,0.0,0.0
2023-04-27 14:00:00+08:00,939.4594170081972,1386.360007851783,2325.8194248599802,437.22475446065755,437.22475446065755,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1888.3919877602814,0.0,437.22475446065755,5700.0,0.0,0.0,0.0
2023-04-27 15:00:00+08:00,756.3936677072596,1312.6806482814663,2069.074315988726,420.37482274941954,420.37482274941954,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1648.4968106002652,0.0,420.37482274941954,5700.0,0.0,0.0,0.0
2023-04-27 16:00:00+08:00,481.97013030373114,1111.334691347872,1593.304821651603,487.840932927625,487.840932927625,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,1105.2612060849367,0.0,487.840932927625,5700.0,0.0,0.0,0.0
